Criterio,Arboles,Profundidad,Atributos,p1,p2,p3,p4,p5
entropy,46,10,auto,0.9745025062113375, 0.9768241834623606, 0.9784074960515519, 0.9787393179187186, 0.9799991597213842
entropy,46,10,auto,0.9801919027092039, 0.9765482265174208, 0.9773908027926435, 0.9767787622223749, 0.9798338092731077
entropy,46,10,auto,0.9752123715453609, 0.9798519366852935, 0.977597854736116, 0.9779041608622163, 0.9770645913026276
entropy,46,10,auto,0.9774477821401344, 0.9759133253329999, 0.9782591006202371, 0.9757838864126407, 0.9797684899232492
entropy,46,10,auto,0.9774048550796562, 0.9763351432602643, 0.9797602901458723, 0.9788958193391549, 0.9757718635645467

gini,125,10,log2,0.9775641528562681, 0.9779350248180441, 0.9784538773502764, 0.9791082458251612, 0.9767594654800743
gini,125,10,log2,0.9778425841417021, 0.9778323924143328, 0.9768075176223431, 0.9796044678468906, 0.9786691775160047
gini,125,10,log2,0.9768024607443765, 0.9772821149274775, 0.9771845203117874, 0.9769425505721074, 0.9785124314069111
gini,125,10,log2,0.9789538483398008, 0.9776408604501736, 0.977990903723077, 0.9764511727891052, 0.9778798982818924
gini,125,10,log2,0.9779178059673133, 0.9781756708461167, 0.9775365381012067, 0.9773265315562403, 0.9788504079750239

entropy,167,11,auto,0.9837253603618011, 0.9828359299189997, 0.9848698044981863, 0.9840470872345302, 0.9834754146670348
entropy,167,11,auto,0.984804466233005, 0.9847468186126049, 0.9851258792427462, 0.9848197471373298, 0.9840220599799916
entropy,167,11,auto,0.9826275403797889, 0.9863075537992525, 0.985897028450538, 0.9833859161298036, 0.9855192297179829
entropy,167,11,auto,0.9836151647993694, 0.9843005360093379, 0.9855303256977802, 0.9855116169652687, 0.9857733948792109
entropy,167,11,auto,0.9828083775547743, 0.9850952126276727, 0.9845127257478923, 0.9835848948996148, 0.9843756573682666

gini,63,11,log2,0.9826030725834712, 0.9818846756002753, 0.9839460628190787, 0.9841453171670292, 0.9831563822952147
