Criterio,Arboles,Profundidad,Atributos,p1,p2,p3,p4,p5
entropy,46,10,auto,0.6877612064743572, 0.6866333751932775, 0.6893438877549946, 0.6998653414023357, 0.6955992352773881
entropy,46,10,auto,0.7021413792852087, 0.7012631683182304, 0.6849444509770063, 0.6905832132296856, 0.7057684696693245
entropy,46,10,auto,0.7085252616417768, 0.7002581871999858, 0.6971326765970022, 0.7053936012332827, 0.6925487949737511
entropy,46,10,auto,0.6966647787540765, 0.6957010636800887, 0.6972666006754641, 0.6996796481448989, 0.7059542735642981
entropy,46,10,auto,0.6893260951919818, 0.6930059249423225, 0.6976800734031139, 0.7052852222179793, 0.7053721793413708

gini,125,10,log2,0.6858306012878851, 0.6910440612940165, 0.6837069446135062, 0.6888305692664393, 0.6961204403572323
gini,125,10,log2,0.6999273313519383, 0.6916389673226451, 0.6965091616520875, 0.6921464452942283, 0.6929773774182688
gini,125,10,log2,0.6968018287539055, 0.693599249502791, 0.7059870103083847, 0.6953169668360979, 0.7051784078308491
gini,125,10,log2,0.7080032700217804, 0.695489788607649, 0.6917815440433177, 0.6948633935750155, 0.6950986178375167
gini,125,10,log2,0.696976483694955, 0.7047938036289894, 0.7000597172740655, 0.6977278533075455, 0.6960014140329738

entropy,167,11,auto,0.7668313286812003, 0.7557803013023003, 0.7617391240419387, 0.7586324430325473, 0.7625855722262597
entropy,167,11,auto,0.7593782008692159, 0.7632606438768186, 0.7609448319001846, 0.7640108242072104, 0.7541312107944743
entropy,167,11,auto,0.7558921594871572, 0.7620911206707512, 0.7570636938942307, 0.7575409179682456, 0.758595516210955
entropy,167,11,auto,0.755602869347086, 0.7674877562802662, 0.7641521594089398, 0.760115871092545, 0.7630918304236769
entropy,167,11,auto,0.7620564627948061, 0.7604537259545282, 0.7629485403909543, 0.7662651773997107, 0.7600714186848593

gini,63,11,log2,0.7543573168678457, 0.7633313193616256, 0.765746586354922, 0.754752677462351, 0.7579581220400023
gini,63,11,log2,0.7502190927901898, 0.7640827476460507, 0.7643310120581238, 0.7620067846272723, 0.7505440797761395
gini,63,11,log2,0.7609351701608204, 0.7587435309723947, 0.7689512050184242, 0.7627174496895252, 0.7675491476108622
gini,63,11,log2,0.7616258583999015, 0.7547118312308099, 0.7533739431352113, 0.7596280521114052, 0.7731425940681608
gini,63,11,log2,0.7598062633135482, 0.7683614756687362, 0.7656078796438966, 0.7645788323837471, 0.7564227629583461

entropy,76,13,auto,0.8530659005399578, 0.8513218903303483, 0.8531603610263788, 0.86297817020378, 0.8517462938006495
entropy,76,13,auto,0.8578271064652649, 0.8591087554105183, 0.8625638952360672, 0.8588232939755784, 0.8643068301386969
entropy,76,13,auto,0.8615024169718662, 0.8543749911020694, 0.8692463329125111, 0.8693039743848517, 0.8653453141856075
entropy,76,13,auto,0.8681719627503155, 0.8682245297613231, 0.8558131526617372, 0.8620636518537395, 0.8625462587094911
entropy,76,13,auto,0.8669421092616743, 0.8742317827270895, 0.8569675603797084, 0.8722279447262833, 0.8631402694834115

gini,29,14,log2,0.8844493183819756, 0.8885579107578231, 0.8830487685134992, 0.8846661430080265, 0.891409589738885
gini,29,14,log2,0.8980917195998795, 0.8999864615237976, 0.8917597985520962, 0.8869521217352919, 0.8856478753471392
gini,29,14,log2,0.8919503359952612, 0.8962067547909683, 0.899345658358227, 0.887104777764599, 0.898733532868442
gini,29,14,log2,0.8886377731080654, 0.8989750744030669, 0.8844918826533636, 0.898496769564962, 0.8905488510165995
gini,29,14,log2,0.8929564851341754, 0.8994775370678515, 0.895470874903576, 0.8866284934050555, 0.8903864950587771

entropy,186,15,log2,0.9284206904026853, 0.9284449885635723, 0.933065524074618, 0.9283821978141537, 0.9367535900327937
entropy,186,15,log2,0.9302785579200986, 0.9300520504960559, 0.930181120126403, 0.9326576307537633, 0.9287099153495135
entropy,186,15,log2,0.9362848722801912, 0.9404466133539695, 0.9389047593169428, 0.9406890805774865, 0.9362024487101868
entropy,186,15,log2,0.9372130596021274, 0.935757177526086, 0.9280098225608703, 0.9367345299051096, 0.9335549495485499
entropy,186,15,log2,0.9398988991407694, 0.936643867917647, 0.9414215959076636, 0.9388755520450206, 0.9378538830010101

gini,33,16,log2,0.943170461846125, 0.9453599644149367, 0.9328471248411607, 0.9385267551094726, 0.9351589268193412
gini,33,16,log2,0.9360198475240158, 0.941830625297323, 0.9443671850271284, 0.9320408147908124, 0.9289044502521824
gini,33,16,log2,0.9447223961428888, 0.9431660803989494, 0.9411412109159661, 0.9413524540284546, 0.9436950466898302
gini,33,16,log2,0.9494143893502557, 0.9448477466480412, 0.9405838425091192, 0.9391887598692654, 0.9425387535205276
gini,33,16,log2,0.9460461361827912, 0.939597661935506, 0.9415053316983721, 0.9391994663325255, 0.9438344365026303

entropy,54,16,auto,0.9500913126857349, 0.9471340087866893, 0.9559149577230183, 0.9458885675978994, 0.9496255967480121
entropy,54,16,auto,0.9428064310451866, 0.9440416035711716, 0.9431475011004693, 0.9500924197410804, 0.9476416691520464
entropy,54,16,auto,0.9479729267189921, 0.9541370488954126, 0.9520096119810456, 0.9467162499415966, 0.9503676911121379
entropy,54,16,auto,0.951591682371471, 0.9534337071843741, 0.9471406365928347, 0.9525930359685979, 0.9508863823484832
entropy,54,16,auto,0.951831744318566, 0.9508809652204799, 0.9515700980209346, 0.9539543114026025, 0.9585295933727787

gini,191,18,auto,0.9703010958039338, 0.9697074971256402, 0.9706472695139362, 0.9697562200054343, 0.9692727488439441
gini,191,18,auto,0.9674809266069919, 0.9678432451477533, 0.9669487426938417, 0.9681942724277165, 0.9641358150113138
gini,191,18,auto,0.9709964305067272, 0.9704853572313228, 0.9721684037249317, 0.9713799879067609, 0.9677718350733466
gini,191,18,auto,0.9713510347150944, 0.9710259395941707, 0.9696548879320228, 0.970168205324929, 0.971881947041028
gini,191,18,auto,0.9715281377859599, 0.9703739185595937, 0.970523024639236, 0.9717051084827664, 0.969858499054758

gini,31,20,auto,0.9775915347708268, 0.9751837398404436, 0.9753798992034732, 0.9783639903607112, 0.9784364040608495
gini,31,20,auto,0.9774474841444941, 0.9782944233888752, 0.975522941305987, 0.9764644632805775, 0.9758631709382801
gini,31,20,auto,0.9787855386061517, 0.9812122273009316, 0.9779147175197469, 0.9767408192666259, 0.9768841652191467
gini,31,20,auto,0.9811071007747351, 0.9799804872896332, 0.9833623312204891, 0.9745364958547589, 0.9762632751028912
gini,31,20,auto,0.9793812474909523, 0.9748344322307483, 0.9810151455968306, 0.9792423669348546, 0.9796233897484492

gini,154,21,auto,0.9864070126384373, 0.9864331995095708, 0.9830504355743088, 0.9870714581705478, 0.9854408114154234
gini,154,21,auto,0.9847136602528096, 0.9861801727615703, 0.9839294449839722, 0.986101083462392, 0.9841892885936605
gini,154,21,auto,0.9882778125536434, 0.9865507893490397, 0.9888540475801622, 0.9870344491942038, 0.9885428356483748
gini,154,21,auto,0.9885428356483748, 0.9853474488929823, 0.9857531211114225, 0.9860358075903118, 0.9881063301183696
gini,154,21,auto,0.9879678095354163, 0.9869228789403534, 0.9850347460247209, 0.9864876944739331, 0.9888233354929981

entropy,35,21,auto,0.9911641430201528, 0.9922000746137387, 0.9880282663819927, 0.9934624568428796, 0.9895106049659493
entropy,35,21,auto,0.9933719563645955, 0.9908413399343456, 0.9912188835426234, 0.9902061412757363, 0.9895906975389165
